02_20,jhu-csse,co-est2019-alldata,usafacts
34025,34025,34025,34025
34041,34041,34041,34041
34019,34019,34019,34019
34033,34033,34033,34033
34007,34007,34007,34007
34029,34029,34029,34029
34005,34005,34005,34005
34015,34015,34015,34015
34001,34001,34001,34001
34009,34009,34009,34009
34011,34011,34011,34011
34021,34021,34021,34021
36061,36061,36061,36061
36085,36085,36085,36085
36005,36005,36005,36005
36119,36119,36119,36119
36079,36079,36079,36079
36087,36087,36087,36087
36071,36071,36071,36071
36059,36059,36059,36059
36081,36081,36081,36081
36047,36047,36047,36047
36001,36001,36001,36001
36093,36093,36093,36093
36057,36057,36057,36057
36039,36039,36039,36039
36021,36021,36021,36021
36083,36083,36083,36083
36091,36091,36091,36091
36035,36035,36035,36035
36095,36095,36095,36095
36115,36115,36115,36115
36077,36077,36077,36077
36041,36041,36041,36041
36025,36025,36025,36025
36111,36111,36111,36111
36027,36027,36027,36027
36105,36105,36105,36105
36113,36113,36113,36113
36031,36031,36031,36031
36019,36019,36019,36019
36033,36033,36033,36033
36089,36089,36089,36089
36067,36067,36067,36067
36011,36011,36011,36011
36075,36075,36075,36075
36053,36053,36053,36053
36023,36023,36023,36023
36109,36109,36109,36109
36065,36065,36065,36065
36017,36017,36017,36017
36117,36117,36117,36117
36099,36099,36099,36099
36049,36049,36049,36049
36043,36043,36043,36043
36045,36045,36045,36045
36107,36107,36107,36107
36007,36007,36007,36007
36029,36029,36029,36029
36037,36037,36037,36037
36063,36063,36063,36063
36121,36121,36121,36121
36009,36009,36009,36009
36013,36013,36013,36013
36073,36073,36073,36073
36051,36051,36051,36051
36123,36123,36123,36123
36055,36055,36055,36055
36069,36069,36069,36069
36101,36101,36101,36101
36003,36003,36003,36003
36097,36097,36097,36097
36015,36015,36015,36015
42007,42007,42007,42007
42125,42125,42125,42125
42003,42003,42003,42003
42129,42129,42129,42129
42059,42059,42059,42059
42051,42051,42051,42051
42111,42111,42111,42111
42009,42009,42009,42009
42057,42057,42057,42057
42005,42005,42005,42005
42063,42063,42063,42063
42065,42065,42065,42065
42021,42021,42021,42021
42033,42033,42033,42033
42047,42047,42047,42047
42023,42023,42023,42023
42019,42019,42019,42019
42031,42031,42031,42031
42073,42073,42073,42073
42039,42039,42039,42039
42085,42085,42085,42085
42053,42053,42053,42053
42121,42121,42121,42121
42123,42123,42123,42123
42083,42083,42083,42083
42049,42049,42049,42049
42013,42013,42013,42013
42061,42061,42061,42061
42027,42027,42027,42027
42105,42105,42105,42105
42035,42035,42035,42035
42117,42117,42117,42117
42015,42015,42015,42015
42087,42087,42087,42087
42075,42075,42075,42075
42043,42043,42043,42043
42099,42099,42099,42099
42041,42041,42041,42041
42097,42097,42097,42097
42133,42133,42133,42133
42071,42071,42071,42071
42067,42067,42067,42067
42109,42109,42109,42109
42055,42055,42055,42055
42001,42001,42001,42001
42081,42081,42081,42081
42113,42113,42113,42113
42119,42119,42119,42119
42037,42037,42037,42037
42093,42093,42093,42093
42107,42107,42107,42107
42077,42077,42077,42077
42095,42095,42095,42095
42025,42025,42025,42025
42091,42091,42091,42091
42011,42011,42011,42011
42089,42089,42089,42089
42017,42017,42017,42017
42079,42079,42079,42079
42103,42103,42103,42103
42069,42069,42069,42069
42127,42127,42127,42127
42115,42115,42115,42115
42131,42131,42131,42131
42045,42045,42045,42045
42029,42029,42029,42029
42101,42101,42101,42101
10003,10003,10003,10003
10001,10001,10001,10001
10005,10005,10005,10005
11001,11001,11001,11001
51107,51107,51107,51107
51047,51047,51047,51047
51153,51153,51153,51153
51683,51683,51683,51683
51061,51061,51061,51061
51059,51059,51059,51059
51043,51043,51043,51043
24017,24017,24017,24017
24037,24037,24037,24037
24033,24033,24033,24033
24009,24009,24009,24009
24027,24027,24027,24027
24003,24003,24003,24003
24031,24031,24031,24031
24025,24025,24025,24025
24005,24005,24005,24005
24013,24013,24013,24013
24510,24510,24510,24510
24001,24001,24001,24001
24023,24023,24023,24023
24041,24041,24041,24041
24035,24035,24035,24035
24029,24029,24029,24029
24019,24019,24019,24019
24011,24011,24011,24011
24021,24021,24021,24021
24043,24043,24043,24043
24045,24045,24045,24045
24047,24047,24047,24047
24039,24039,24039,24039
24015,24015,24015,24015
51610,51610,51610,51610
51013,51013,51013,51013
51510,51510,51510,51510
51630,51630,51630,51630
51179,51179,51179,51179
51177,51177,51177,51177
51033,51033,51033,51033
51133,51133,51133,51133
51137,51137,51137,51137
51057,51057,51057,51057
51193,51193,51193,51193
51099,51099,51099,51099
51159,51159,51159,51159
51103,51103,51103,51103
51840,51840,51840,51840
51069,51069,51069,51069
51187,51187,51187,51187
51157,51157,51157,51157
51171,51171,51171,51171
51139,51139,51139,51139
51113,51113,51113,51113
51660,51660,51660,51660
51165,51165,51165,51165
51015,51015,51015,51015
51003,51003,51003,51003
51540,51540,51540,51540
51125,51125,51125,51125
51079,51079,51079,51079
51065,51065,51065,51065
51820,51820,51820,51820
51007,51007,51007,51007
51029,51029,51029,51029
51085,51085,51085,51085
51101,51101,51101,51101
51127,51127,51127,51127
51115,51115,51115,51115
51097,51097,51097,51097
51109,51109,51109,51109
51049,51049,51049,51049
51036,51036,51036,51036
51119,51119,51119,51119
51075,51075,51075,51075
51087,51087,51087,51087
51073,51073,51073,51073
51041,51041,51041,51041
51145,51145,51145,51145
51095,51095,51095,51095
51760,51760,51760,51760
51830,51830,51830,51830
51001,51001,51001,51001
51093,51093,51093,51093
51131,51131,51131,51131
51550,51550,51550,51550
51800,51800,51800,51800
51810,51810,51810,51810
51710,51710,51710,51710
51700,51700,51700,51700
51650,51650,51650,51650
51735,51735,51735,51735
51199,51199,51199,51199
51740,51740,51740,51740
51149,51149,51149,51149
51730,51730,51730,51730
51053,51053,51053,51053
51025,51025,51025,51025
51135,51135,51135,51135
51175,51175,51175,51175
51570,51570,51570,51570
51181,51181,51181,51181
51081,51081,51081,51081
51670,51670,51670,51670
51183,51183,51183,51183
51147,51147,51147,51147
51117,51117,51117,51117
51037,51037,51037,51037
51111,51111,51111,51111
51770,51770,51770,51770
51161,51161,51161,51161
51141,51141,51141,51141
51089,51089,51089,51089
51155,51155,51155,51155
51121,51121,51121,51121
51023,51023,51023,51023
51067,51067,51067,51067
51143,51143,51143,51143
51063,51063,51063,51063
51071,51071,51071,51071
51019,51019,51019,51019
51045,51045,51045,51045
51750,51750,51750,51750
51775,51775,51775,51775
51520,51520,51520,51520
51191,51191,51191,51191
51195,51195,51195,51195
51051,51051,51051,51051
51105,51105,51105,51105
51167,51167,51167,51167
51027,51027,51027,51027
51169,51169,51169,51169
51720,51720,51720,51720
51077,51077,51077,51077
51173,51173,51173,51173
51035,51035,51035,51035
51197,51197,51197,51197
51021,51021,51021,51021
51185,51185,51185,51185
51640,51640,51640,51640
51790,51790,51790,51790
51017,51017,51017,51017
51091,51091,51091,51091
51163,51163,51163,51163
51530,51530,51530,51530
51005,51005,51005,51005
51680,51680,51680,51680
51031,51031,51031,51031
51083,51083,51083,51083
51009,51009,51009,51009
51011,51011,51011,51011
51590,51590,51590,51590
54055,54055,54055,54055
54109,54109,54109,54109
54047,54047,54047,54047
54059,54059,54059,54059
54025,54025,54025,54025
54075,54075,54075,54075
54063,54063,54063,54063
54089,54089,54089,54089
54019,54019,54019,54019
54043,54043,54043,54043
54087,54087,54087,54087
54081,54081,54081,54081
54005,54005,54005,54005
54079,54079,54079,54079
54039,54039,54039,54039
54015,54015,54015,54015
54045,54045,54045,54045
54007,54007,54007,54007
54053,54053,54053,54053
54013,54013,54013,54013
54035,54035,54035,54035
54021,54021,54021,54021
54003,54003,54003,54003
54065,54065,54065,54065
54037,54037,54037,54037
54027,54027,54027,54027
54011,54011,54011,54011
54099,54099,54099,54099
54069,54069,54069,54069
54009,54009,54009,54009
54051,54051,54051,54051
54029,54029,54029,54029
54107,54107,54107,54107
54073,54073,54073,54073
54105,54105,54105,54105
54095,54095,54095,54095
54085,54085,54085,54085
54103,54103,54103,54103
54097,54097,54097,54097
54067,54067,54067,54067
54101,54101,54101,54101
54083,54083,54083,54083
54001,54001,54001,54001
54093,54093,54093,54093
54033,54033,54033,54033
54041,54041,54041,54041
54017,54017,54017,54017
54091,54091,54091,54091
54077,54077,54077,54077
54061,54061,54061,54061
54049,54049,54049,54049
54023,54023,54023,54023
54057,54057,54057,54057
54031,54031,54031,54031
54071,54071,54071,54071
37059,37059,37059,37059
37171,37171,37171,37171
37067,37067,37067,37067
37197,37197,37197,37197
37159,37159,37159,37159
37169,37169,37169,37169
37157,37157,37157,37157
37001,37001,37001,37001
37151,37151,37151,37151
37037,37037,37037,37037
37123,37123,37123,37123
37033,37033,37033,37033
37081,37081,37081,37081
37135,37135,37135,37135
37057,37057,37057,37057
37125,37125,37125,37125
37105,37105,37105,37105
37145,37145,37145,37145
37085,37085,37085,37085
37183,37183,37183,37183
37063,37063,37063,37063
37101,37101,37101,37101
37077,37077,37077,37077
37069,37069,37069,37069
37191,37191,37191,37191
37181,37181,37181,37181
37185,37185,37185,37185
37127,37127,37127,37127
37065,37065,37065,37065
37091,37091,37091,37091
37013,37013,37013,37013
37147,37147,37147,37147
37195,37195,37195,37195
37131,37131,37131,37131
37083,37083,37083,37083
37095,37095,37095,37095
37117,37117,37117,37117
37015,37015,37015,37015
37079,37079,37079,37079
37139,37139,37139,37139
37055,37055,37055,37055
37053,37053,37053,37053
37143,37143,37143,37143
37029,37029,37029,37029
37177,37177,37177,37177
37073,37073,37073,37073
37187,37187,37187,37187
37041,37041,37041,37041
37167,37167,37167,37167
37071,37071,37071,37071
37007,37007,37007,37007
37045,37045,37045,37045
37161,37161,37161,37161
37025,37025,37025,37025
37119,37119,37119,37119
37109,37109,37109,37109
37179,37179,37179,37179
37097,37097,37097,37097
37051,37051,37051,37051
37163,37163,37163,37163
37017,37017,37017,37017
37061,37061,37061,37061
37153,37153,37153,37153
37155,37155,37155,37155
37165,37165,37165,37165
37093,37093,37093,37093
37129,37129,37129,37129
37019,37019,37019,37019
37141,37141,37141,37141
37047,37047,37047,37047
37133,37133,37133,37133
37107,37107,37107,37107
37137,37137,37137,37137
37031,37031,37031,37031
37049,37049,37049,37049
37103,37103,37103,37103
37035,37035,37035,37035
37189,37189,37189,37189
37193,37193,37193,37193
37027,37027,37027,37027
37023,37023,37023,37023
37009,37009,37009,37009
37011,37011,37011,37011
37005,37005,37005,37005
37003,37003,37003,37003
37021,37021,37021,37021
37075,37075,37075,37075
37121,37121,37121,37121
37099,37099,37099,37099
37175,37175,37175,37175
37173,37173,37173,37173
37199,37199,37199,37199
37087,37087,37087,37087
37149,37149,37149,37149
37089,37089,37089,37089
37113,37113,37113,37113
37115,37115,37115,37115
37111,37111,37111,37111
37039,37039,37039,37039
37043,37043,37043,37043
45027,45027,45027,45027
45009,45009,45009,45009
45063,45063,45063,45063
45055,45055,45055,45055
45061,45061,45061,45061
45023,45023,45023,45023
45039,45039,45039,45039
45079,45079,45079,45079
45075,45075,45075,45075
45017,45017,45017,45017
45087,45087,45087,45087
45071,45071,45071,45071
45085,45085,45085,45085
45089,45089,45089,45089
45057,45057,45057,45057
45031,45031,45031,45031
45029,45029,45029,45029
45025,45025,45025,45025
45003,45003,45003,45003
45041,45041,45041,45041
45081,45081,45081,45081
45083,45083,45083,45083
45059,45059,45059,45059
45021,45021,45021,45021
45019,45019,45019,45019
45015,45015,45015,45015
45035,45035,45035,45035
45043,45043,45043,45043
45051,45051,45051,45051
45069,45069,45069,45069
45067,45067,45067,45067
45033,45033,45033,45033
45045,45045,45045,45045
45001,45001,45001,45001
45007,45007,45007,45007
45077,45077,45077,45077
45073,45073,45073,45073
45047,45047,45047,45047
45091,45091,45091,45091
45005,45005,45005,45005
45011,45011,45011,45011
45065,45065,45065,45065
45037,45037,45037,45037
45013,45013,45013,45013
45049,45049,45049,45049
45053,45053,45053,45053
13089,13089,13089,13089
13121,13121,13121,13121
13067,13067,13067,13067
13013,13013,13013,13013
13247,13247,13247,13247
13217,13217,13217,13217
13135,13135,13135,13135
13297,13297,13297,13297
13117,13117,13117,13117
13211,13211,13211,13211
13057,13057,13057,13057
13015,13015,13015,13015
13233,13233,13233,13233
13115,13115,13115,13115
13045,13045,13045,13045
13143,13143,13143,13143
13097,13097,13097,13097
13223,13223,13223,13223
13227,13227,13227,13227
13171,13171,13171,13171
13113,13113,13113,13113
13231,13231,13231,13231
13035,13035,13035,13035
13149,13149,13149,13149
13199,13199,13199,13199
13077,13077,13077,13077
13255,13255,13255,13255
13151,13151,13151,13151
13285,13285,13285,13285
13207,13207,13207,13207
13063,13063,13063,13063
13293,13293,13293,13293
13107,13107,13107,13107
13209,13209,13209,13209
13309,13309,13309,13309
13163,13163,13163,13163
13031,13031,13031,13031
13109,13109,13109,13109
13267,13267,13267,13267
13033,13033,13033,13033
13279,13279,13279,13279
13043,13043,13043,13043
13165,13165,13165,13165
13251,13251,13251,13251
13175,13175,13175,13175
13283,13283,13283,13283
13139,13139,13139,13139
13137,13137,13137,13137
13011,13011,13011,13011
13291,13291,13291,13291
13111,13111,13111,13111
13147,13147,13147,13147
13119,13119,13119,13119
13123,13123,13123,13123
13241,13241,13241,13241
13311,13311,13311,13311
13157,13157,13157,13157
13187,13187,13187,13187
13085,13085,13085,13085
13257,13257,13257,13257
13281,13281,13281,13281
13059,13059,13059,13059
13221,13221,13221,13221
13219,13219,13219,13219
13105,13105,13105,13105
13195,13195,13195,13195
13265,13265,13265,13265
13133,13133,13133,13133
13317,13317,13317,13317
13129,13129,13129,13129
13213,13213,13213,13213
13295,13295,13295,13295
13313,13313,13313,13313
13047,13047,13047,13047
13055,13055,13055,13055
13083,13083,13083,13083
13073,13073,13073,13073
13245,13245,13245,13245
13301,13301,13301,13301
13189,13189,13189,13189
13125,13125,13125,13125
13181,13181,13181,13181
13303,13303,13303,13303
13315,13315,13315,13315
13319,13319,13319,13319
13153,13153,13153,13153
13269,13269,13269,13269
13093,13093,13093,13093
13225,13225,13225,13225
13091,13091,13091,13091
13023,13023,13023,13023
13081,13081,13081,13081
13289,13289,13289,13289
13237,13237,13237,13237
13169,13169,13169,13169
13235,13235,13235,13235
13159,13159,13159,13159
13193,13193,13193,13193
13167,13167,13167,13167
13079,13079,13079,13079
13021,13021,13021,13021
13271,13271,13271,13271
13197,13197,13197,13197
13009,13009,13009,13009
13141,13141,13141,13141
13179,13179,13179,13179
13103,13103,13103,13103
13191,13191,13191,13191
13029,13029,13029,13029
13183,13183,13183,13183
13051,13051,13051,13051
13299,13299,13299,13299
13005,13005,13005,13005
13069,13069,13069,13069
13001,13001,13001,13001
13229,13229,13229,13229
13127,13127,13127,13127
13161,13161,13161,13161
13049,13049,13049,13049
13025,13025,13025,13025
13305,13305,13305,13305
13039,13039,13039,13039
13185,13185,13185,13185
13075,13075,13075,13075
13019,13019,13019,13019
13065,13065,13065,13065
13003,13003,13003,13003
13027,13027,13027,13027
13275,13275,13275,13275
13173,13173,13173,13173
13071,13071,13071,13071
13101,13101,13101,13101
13095,13095,13095,13095
13261,13261,13261,13261
13287,13287,13287,13287
13205,13205,13205,13205
13277,13277,13277,13277
13017,13017,13017,13017
13177,13177,13177,13177
13321,13321,13321,13321
13155,13155,13155,13155
13145,13145,13145,13145
13053,13053,13053,13053
13249,13249,13249,13249
13263,13263,13263,13263
13259,13259,13259,13259
13215,13215,13215,13215
13307,13307,13307,13307
12019,12019,12019,12019
12121,12121,12121,12121
12089,12089,12089,12089
12023,12023,12023,12023
12007,12007,12007,12007
12109,12109,12109,12109
12003,12003,12003,12003
12047,12047,12047,12047
12125,12125,12125,12125
12079,12079,12079,12079
12067,12067,12067,12067
12069,12069,12069,12069
12035,12035,12035,12035
12107,12107,12107,12107
12083,12083,12083,12083
12127,12127,12127,12127
12119,12119,12119,12119
12031,12031,12031,12031
12073,12073,12073,12073
12037,12037,12037,12037
12077,12077,12077,12077
12039,12039,12039,12039
12129,12129,12129,12129
12065,12065,12065,12065
12123,12123,12123,12123
12005,12005,12005,12005
12063,12063,12063,12063
12013,12013,12013,12013
12059,12059,12059,12059
12133,12133,12133,12133
12131,12131,12131,12131
12045,12045,12045,12045
12033,12033,12033,12033
12113,12113,12113,12113
12091,12091,12091,12091
12001,12001,12001,12001
12041,12041,12041,12041
12075,12075,12075,12075
12029,12029,12029,12029
12117,12117,12117,12117
12095,12095,12095,12095
12009,12009,12009,12009
12061,12061,12061,12061
12087,12087,12087,12087
12011,12011,12011,12011
12086,12086,12086,12086
12099,12099,12099,12099
12051,12051,12051,12051
12085,12085,12085,12085
12043,12043,12043,12043
12057,12057,12057,12057
12101,12101,12101,12101
12103,12103,12103,12103
12105,12105,12105,12105
12055,12055,12055,12055
12049,12049,12049,12049
12097,12097,12097,12097
12071,12071,12071,12071
12015,12015,12015,12015
12021,12021,12021,12021
12081,12081,12081,12081
12115,12115,12115,12115
12027,12027,12027,12027
12017,12017,12017,12017
12053,12053,12053,12053
12111,12111,12111,12111
12093,12093,12093,12093
1115,1115,1115,1115
1073,1073,1073,1073
1117,1117,1117,1117
1123,1123,1123,1123
1009,1009,1009,1009
1121,1121,1121,1121
1095,1095,1095,1095
1043,1043,1043,1043
1007,1007,1007,1007
1021,1021,1021,1021
1127,1127,1127,1127
1037,1037,1037,1037
1027,1027,1027,1027
1125,1125,1125,1125
1065,1065,1065,1065
1107,1107,1107,1107
1063,1063,1063,1063
1119,1119,1119,1119
1133,1133,1133,1133
1057,1057,1057,1057
1093,1093,1093,1093
1075,1075,1075,1075
1059,1059,1059,1059
1103,1103,1103,1103
1077,1077,1077,1077
1083,1083,1083,1083
1033,1033,1033,1033
1079,1079,1079,1079
1071,1071,1071,1071
1089,1089,1089,1089
1055,1055,1055,1055
1019,1019,1019,1019
1049,1049,1049,1049
1001,1001,1001,1001
1109,1109,1109,1109
1041,1041,1041,1041
1101,1101,1101,1101
1005,1005,1005,1005
1051,1051,1051,1051
1039,1039,1039,1039
1011,1011,1011,1011
1013,1013,1013,1013
1087,1087,1087,1087
1085,1085,1085,1085
1015,1015,1015,1015
1029,1029,1029,1029
1111,1111,1111,1111
1069,1069,1069,1069
1067,1067,1067,1067
1031,1031,1031,1031
1061,1061,1061,1061
1045,1045,1045,1045
1035,1035,1035,1035
1099,1099,1099,1099
1053,1053,1053,1053
1131,1131,1131,1131
1025,1025,1025,1025
1097,1097,1097,1097
1003,1003,1003,1003
1129,1129,1129,1129
1047,1047,1047,1047
1091,1091,1091,1091
1105,1105,1105,1105
1081,1081,1081,1081
1017,1017,1017,1017
1113,1113,1113,1113
1023,1023,1023,1023
47125,47125,47125,47125
47041,47041,47041,47041
47037,47037,47037,47037
47187,47187,47187,47187
47021,47021,47021,47021
47015,47015,47015,47015
47031,47031,47031,47031
47117,47117,47117,47117
47003,47003,47003,47003
47165,47165,47165,47165
47161,47161,47161,47161
47081,47081,47081,47081
47043,47043,47043,47043
47159,47159,47159,47159
47147,47147,47147,47147
47149,47149,47149,47149
47083,47083,47083,47083
47169,47169,47169,47169
47085,47085,47085,47085
47111,47111,47111,47111
47189,47189,47189,47189
47135,47135,47135,47135
47177,47177,47177,47177
47061,47061,47061,47061
47065,47065,47065,47065
47107,47107,47107,47107
47051,47051,47051,47051
47139,47139,47139,47139
47011,47011,47011,47011
47143,47143,47143,47143
47121,47121,47121,47121
47153,47153,47153,47153
47103,47103,47103,47103
47115,47115,47115,47115
47127,47127,47127,47127
47123,47123,47123,47123
47007,47007,47007,47007
47179,47179,47179,47179
47059,47059,47059,47059
47163,47163,47163,47163
47091,47091,47091,47091
47073,47073,47073,47073
47019,47019,47019,47019
47171,47171,47171,47171
47009,47009,47009,47009
47001,47001,47001,47001
47057,47057,47057,47057
47029,47029,47029,47029
47013,47013,47013,47013
47025,47025,47025,47025
47129,47129,47129,47129
47093,47093,47093,47093
47035,47035,47035,47035
47089,47089,47089,47089
47151,47151,47151,47151
47155,47155,47155,47155
47105,47105,47105,47105
47145,47145,47145,47145
47067,47067,47067,47067
47173,47173,47173,47173
47063,47063,47063,47063
47033,47033,47033,47033
47157,47157,47157,47157
47167,47167,47167,47167
47045,47045,47045,47045
47069,47069,47069,47069
47075,47075,47075,47075
47047,47047,47047,47047
47097,47097,47097,47097
47095,47095,47095,47095
47017,47017,47017,47017
47005,47005,47005,47005
47079,47079,47079,47079
47183,47183,47183,47183
47131,47131,47131,47131
47053,47053,47053,47053
47113,47113,47113,47113
47109,47109,47109,47109
47039,47039,47039,47039
47071,47071,47071,47071
47077,47077,47077,47077
47023,47023,47023,47023
47119,47119,47119,47119
47181,47181,47181,47181
47055,47055,47055,47055
47099,47099,47099,47099
47101,47101,47101,47101
47141,47141,47141,47141
47049,47049,47049,47049
47133,47133,47133,47133
47087,47087,47087,47087
47137,47137,47137,47137
47027,47027,47027,47027
47185,47185,47185,47185
47175,47175,47175,47175
28071,28071,28071,28071
28009,28009,28009,28009
28107,28107,28107,28107
28145,28145,28145,28145
28093,28093,28093,28093
28027,28027,28027,28027
28137,28137,28137,28137
28119,28119,28119,28119
28139,28139,28139,28139
28143,28143,28143,28143
28033,28033,28033,28033
28151,28151,28151,28151
28011,28011,28011,28011
28055,28055,28055,28055
28125,28125,28125,28125
28133,28133,28133,28133
28053,28053,28053,28053
28081,28081,28081,28081
28095,28095,28095,28095
28057,28057,28057,28057
28141,28141,28141,28141
28117,28117,28117,28117
28003,28003,28003,28003
28115,28115,28115,28115
28017,28017,28017,28017
28013,28013,28013,28013
28043,28043,28043,28043
28015,28015,28015,28015
28135,28135,28135,28135
28161,28161,28161,28161
28097,28097,28097,28097
28083,28083,28083,28083
28163,28163,28163,28163
28049,28049,28049,28049
28121,28121,28121,28121
28127,28127,28127,28127
28089,28089,28089,28089
28079,28079,28079,28079
28101,28101,28101,28101
28029,28029,28029,28029
28051,28051,28051,28051
28007,28007,28007,28007
28063,28063,28063,28063
28123,28123,28123,28123
28021,28021,28021,28021
28129,28129,28129,28129
28065,28065,28065,28065
28001,28001,28001,28001
28077,28077,28077,28077
28149,28149,28149,28149
28075,28075,28075,28075
28153,28153,28153,28153
28069,28069,28069,28069
28023,28023,28023,28023
28061,28061,28061,28061
28159,28159,28159,28159
28103,28103,28103,28103
28099,28099,28099,28099
28035,28035,28035,28035
28073,28073,28073,28073
28111,28111,28111,28111
28109,28109,28109,28109
28031,28031,28031,28031
28091,28091,28091,28091
28067,28067,28067,28067
28041,28041,28041,28041
28059,28059,28059,28059
28047,28047,28047,28047
28045,28045,28045,28045
28131,28131,28131,28131
28085,28085,28085,28085
28037,28037,28037,28037
28157,28157,28157,28157
28113,28113,28113,28113
28005,28005,28005,28005
28147,28147,28147,28147
28087,28087,28087,28087
28019,28019,28019,28019
28155,28155,28155,28155
28025,28025,28025,28025
28105,28105,28105,28105
13037,13037,13037,13037
13087,13087,13087,13087
13099,13099,13099,13099
13061,13061,13061,13061
13273,13273,13273,13273
13131,13131,13131,13131
13243,13243,13243,13243
13201,13201,13201,13201
13253,13253,13253,13253
13239,13239,13239,13239
13007,13007,13007,13007
21211,21211,21211,21211
21179,21179,21179,21179
21223,21223,21223,21223
21103,21103,21103,21103
21155,21155,21155,21155
21185,21185,21185,21185
21111,21111,21111,21111
21229,21229,21229,21229
21215,21215,21215,21215
21029,21029,21029,21029
21163,21163,21163,21163
21027,21027,21027,21027
21085,21085,21085,21085
21093,21093,21093,21093
21167,21167,21167,21167
21181,21181,21181,21181
21197,21197,21197,21197
21205,21205,21205,21205
21165,21165,21165,21165
21209,21209,21209,21209
21173,21173,21173,21173
21065,21065,21065,21065
21113,21113,21113,21113
21005,21005,21005,21005
21239,21239,21239,21239
21017,21017,21017,21017
21011,21011,21011,21011
21187,21187,21187,21187
21151,21151,21151,21151
21049,21049,21049,21049
21109,21109,21109,21109
21203,21203,21203,21203
21137,21137,21137,21137
21021,21021,21021,21021
21079,21079,21079,21079
21067,21067,21067,21067
21073,21073,21073,21073
21235,21235,21235,21235
21125,21125,21125,21125
21121,21121,21121,21121
21095,21095,21095,21095
21013,21013,21013,21013
21131,21131,21131,21131
21133,21133,21133,21133
21051,21051,21051,21051
21037,21037,21037,21037
21023,21023,21023,21023
21097,21097,21097,21097
21015,21015,21015,21015
21191,21191,21191,21191
21041,21041,21041,21041
21081,21081,21081,21081
21117,21117,21117,21117
21161,21161,21161,21161
21069,21069,21069,21069
21077,21077,21077,21077
21201,21201,21201,21201
21019,21019,21019,21019
21089,21089,21089,21089
21127,21127,21127,21127
21043,21043,21043,21043
21135,21135,21135,21135
21063,21063,21063,21063
21159,21159,21159,21159
21115,21115,21115,21115
21071,21071,21071,21071
21237,21237,21237,21237
21129,21129,21129,21129
21189,21189,21189,21189
21025,21025,21025,21025
21175,21175,21175,21175
21193,21193,21193,21193
21153,21153,21153,21153
21195,21195,21195,21195
21119,21119,21119,21119
21145,21145,21145,21145
21035,21035,21035,21035
21039,21039,21039,21039
21007,21007,21007,21007
21157,21157,21157,21157
21083,21083,21083,21083
21139,21139,21139,21139
