countyname,state,ssacounty,fips,msa,l,msaname,cbsa,cbsaname,cbsaold,cbsanameold,ssast,fipst,y2005,y2011,y2012,y2013,y2014,y2015,y2016,y2017
MACON,AL,1430,1087,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
MADISON,AL,1440,1089,3440,,"HUNTSVILLE, AL",26620,"Huntsville, AL",26620,"Huntsville, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
MARENGO,AL,1450,1091,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
MARION,AL,1460,1093,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
MARSHALL,AL,1470,1095,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
MOBILE,AL,1480,1097,5160,,"MOBILE, AL",33660,"Mobile, AL",33660,"Mobile, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
MONROE,AL,1490,1099,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
MONTGOMERY,AL,1500,1101,5240,,"MONTGOMERY, AL",33860,"Montgomery, AL",33860,"Montgomery, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
MORGAN,AL,1510,1103,2030,,"DECATUR, AL",19460,"Decatur, AL",19460,"Decatur, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
PERRY,AL,1520,1105,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
PICKENS,AL,1530,1107,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
PIKE,AL,1540,1109,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
RANDOLPH,AL,1550,1111,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
RUSSELL,AL,1560,1113,1800,,"COLUMBUS, GA-AL",17980,"Columbus, GA-AL",17980,"Columbus, GA-AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
ST. CLAIR,AL,1570,1115,1000,,"BIRMINGHAM, AL",13820,"Birmingham-Hoover, AL",13820,"Birmingham-Hoover, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
SHELBY,AL,1580,1117,1000,,"BIRMINGHAM, AL",13820,"Birmingham-Hoover, AL",13820,"Birmingham-Hoover, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
SUMTER,AL,1590,1119,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
TALLADEGA,AL,1600,1121,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
TALLAPOOSA,AL,1610,1123,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
TUSCALOOSA,AL,1620,1125,8600,,"TUSCALOOSA, AL",46220,"Tuscaloosa, AL",46220,"Tuscaloosa, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
WALKER,AL,1630,1127,1,,ALABAMA,13820,"Birmingham-Hoover, AL",13820,"Birmingham-Hoover, AL",1,1,2005,2011,2012,2013,2014,2015,2016,2017
WASHINGTON,AL,1640,1129,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
WILCOX,AL,1650,1131,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
WINSTON,AL,1660,1133,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
STATEWIDE,AL,1999,1990,1,,ALABAMA,,,,,1,1,2005,2011,2012,2013,2014,2015,2016,2017
ALEUTIANS EAST,AK,2013,2013,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
ALEUTIANS WEST,AK,2016,2016,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
ANCHORAGE,AK,2020,2020,380,,"ANCHORAGE,AK",11260,"Anchorage, AK",11260,"Anchorage, AK",2,2,2005,2011,2012,2013,2014,2015,2016,2017
ANGOON,AK,2030,2031,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
BARROW-NORTH SLOPE,AK,2040,2040,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
BETHEL,AK,2050,2050,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
BRISTOL BAY BOROUGH,AK,2060,2060,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
DENALI,AK,2068,2068,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
DILLINGHAM,AK,2070,2070,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
CORDOVA-MCCARTHY,AK,2080,2080,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
FAIRBANKS NORTH STAR,AK,2090,2090,2,,ALASKA,21820,"Fairbanks, AK",21820,"Fairbanks, AK",2,2,2005,2011,2012,2013,2014,2015,2016,2017
HAINES,AK,2100,2100,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
HOONAH-ANGOON CENSUS AREA,AK,2105,2105,,,,,,,,2,2,,,2012,2013,2014,2015,2016,2017
JUNEAU,AK,2110,2110,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
KENAI-COOK INLET,AK,2120,2120,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
KENAI PENINSULA,AK,2122,2122,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
KETCHIKAN GATEWAY,AK,2130,2130,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
KOBUK,AK,2140,2140,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
KODIAK ISLAND BOROUGH,AK,2150,2150,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
KSUKOKWIN,AK,2160,2160,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
LAKE AND PENINSULA,AK,2164,2164,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
MATANUSKA-SUSITNA,AK,2170,2170,2,,ALASKA,11260,"Anchorage, AK",11260,"Anchorage, AK",2,2,2005,2011,2012,2013,2014,2015,2016,2017
NOME,AK,2180,2180,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
NORTH SLOPE BOROUH,AK,2185,2185,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
NORTHWEST ARTIC BOROUGH,AK,2188,2188,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
OUTER KETCHIKAN,AK,2190,2190,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
PETERSBURG CENSUS AREA,AK,2195,2195,,,,,,,,2,2,,,2012,2013,2014,2015,2016,2017
PR.OF WALES-HYDER CNS AREA,AK,2198,2198,,,,,,,,2,2,,,2012,2013,2014,2015,2016,2017
PR.OF WALES,AK,2200,2200,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
PR.OF WALES-OUT.KETCHIKAN,AK,2201,2201,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
SEWARD,AK,2210,2210,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
SITKA BOROUGH,AK,2220,2220,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
SKAGWAY-YAKUTAT,AK,2230,2230,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
SKAGWAY-YAKUTAT-ANGOON,AK,2231,2231,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
SKAGWAY-HOONAH-ANGOON,AK,2232,2232,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
SOUTHEAST FAIRBANKS,AK,2240,2240,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
UPPER YUKON,AK,2250,2250,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
VALDEZ-CHITNA-WHITTIER,AK,2260,2260,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
VALDEZ-CORDOVA,AK,2261,2261,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
WADE HAMPTON,AK,2270,2270,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
WRANGELL CITY AND BOROUGH,AK,2275,2275,,,,,,,,2,2,,,2012,2013,2014,2015,2016,2017
WRANGELL-PETERSBURG,AK,2280,2280,2,,ALASKA,,,,,2,2,2005,2011,,,,,,
YAKUTAT BOROUGH,AK,2282,2282,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
YUKON-KOYUKUK,AK,2290,2290,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
STATEWIDE,AK,2999,2990,2,,ALASKA,,,,,2,2,2005,2011,2012,2013,2014,2015,2016,2017
APACHE,AZ,3000,4001,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
COCHISE,AZ,3010,4003,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
COCONINO,AZ,3020,4005,2620,,"FLAGSTAFF, ARIZONA-UTAH",22380,"Flagstaff, AZ",22380,"Flagstaff, AZ",3,4,2005,2011,2012,2013,2014,2015,2016,2017
GILA,AZ,3030,4007,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
GRAHAM,AZ,3040,4009,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
GREENLEE,AZ,3050,4011,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
LAPAZ,AZ,3055,4012,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
MARICOPA,AZ,3060,4013,6200,L,"PHOENIX-MESA, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",38060,"Phoenix-Mesa-Glendale, AZ",3,4,2005,2011,2012,2013,2014,2015,2016,2017
MOHAVE,AZ,3070,4015,4120,L,"LAS VEGAS, NV-AZ",,,29420,"Lake Havasu City-Kingman, AZ",3,4,2005,2011,2012,2013,2014,2015,2016,2017
NAVAJO,AZ,3080,4017,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
PIMA,AZ,3090,4019,8520,,"TUCSON, AZ",46060,"Tucson, AZ",46060,"Tucson, AZ",3,4,2005,2011,2012,2013,2014,2015,2016,2017
PINAL,AZ,3100,4021,6200,L,"PHOENIX-MESA, AZ",38060,"Phoenix-Mesa-Scottsdale, AZ",38060,"Phoenix-Mesa-Glendale, AZ",3,4,2005,2011,2012,2013,2014,2015,2016,2017
SANTA CRUZ,AZ,3110,4023,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
YAVAPAI,AZ,3120,4025,3,,ARIZONA,39140,"Prescott, AZ",39140,"Prescott, AZ",3,4,2005,2011,2012,2013,2014,2015,2016,2017
YUMA,AZ,3130,4027,9360,,"YUMA, AZ",49740,"Yuma, AZ",49740,"Yuma, AZ",3,4,2005,2011,2012,2013,2014,2015,2016,2017
STATEWIDE,AZ,3999,4990,3,,ARIZONA,,,,,3,4,2005,2011,2012,2013,2014,2015,2016,2017
ARKANSAS,AR,4000,5001,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
ASHLEY,AR,4010,5003,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
BAXTER,AR,4020,5005,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
BENTON,AR,4030,5007,2580,,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",22220,"Fayetteville-Springdale-Rogers, AR-MO",22220,"Fayetteville-Springdale-Rogers, AR-MO",4,5,2005,2011,2012,2013,2014,2015,2016,2017
BOONE,AR,4040,5009,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
BRADLEY,AR,4050,5011,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CALHOUN,AR,4060,5013,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CARROLL,AR,4070,5015,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CHICOT,AR,4080,5017,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CLARK,AR,4090,5019,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CLAY,AR,4100,5021,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CLEBURNE,AR,4110,5023,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CLEVELAND,AR,4120,5025,4,,ARKANSAS,38220,"Pine Bluff, AR",38220,"Pine Bluff, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
COLUMBIA,AR,4130,5027,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CONWAY,AR,4140,5029,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
CRAIGHEAD,AR,4150,5031,3700,,"JONESBORO, AR",27860,"Jonesboro, AR",27860,"Jonesboro, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
CRAWFORD,AR,4160,5033,2720,,"FORT SMITH, AR-OK",22900,"Fort Smith, AR-OK",22900,"Fort Smith, AR-OK",4,5,2005,2011,2012,2013,2014,2015,2016,2017
CRITTENDEN,AR,4170,5035,4920,L,"MEMPHIS, TN-AR-MS",32820,"Memphis, TN-MS-AR",32820,"Memphis, TN-MS-AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
CROSS,AR,4180,5037,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
DALLAS,AR,4190,5039,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
DESHA,AR,4200,5041,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
DREW,AR,4210,5043,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
FAULKNER,AR,4220,5045,4400,,"LITTLE ROCK-NORTH LITTLE ROCK, AR",30780,"Little Rock-North Little Rock, AR",30780,"Little Rock-North Little Rock-Conway, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
FRANKLIN,AR,4230,5047,4,,ARKANSAS,22900,"Fort Smith, AR-OK",22900,"Fort Smith, AR-OK",4,5,2005,2011,2012,2013,2014,2015,2016,2017
FULTON,AR,4240,5049,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
GARLAND,AR,4250,5051,4,,ARKANSAS,26300,"Hot Springs, AR",26300,"Hot Springs, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
GRANT,AR,4260,5053,4,,ARKANSAS,30780,"Little Rock-North Little Rock, AR",30780,"Little Rock-North Little Rock-Conway, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
GREENE,AR,4270,5055,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
HEMPSTEAD,AR,4280,5057,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
HOT SPRING,AR,4290,5059,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
HOWARD,AR,4300,5061,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
INDEPENDENCE,AR,4310,5063,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
IZARD,AR,4320,5065,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
JACKSON,AR,4330,5067,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
JEFFERSON,AR,4340,5069,6240,,"PINE BLUFF, AR",38220,"Pine Bluff, AR",38220,"Pine Bluff, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
JOHNSON,AR,4350,5071,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
LAFAYETTE,AR,4360,5073,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
LAWRENCE,AR,4370,5075,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
LEE,AR,4380,5077,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
LINCOLN,AR,4390,5079,4,,ARKANSAS,38220,"Pine Bluff, AR",38220,"Pine Bluff, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
LITTLE RIVER,AR,4400,5081,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
LOGAN,AR,4410,5083,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
LONOKE,AR,4420,5085,4400,,"LITTLE ROCK-NORTH LITTLE ROCK, AR",30780,"Little Rock-North Little Rock, AR",30780,"Little Rock-North Little Rock-Conway, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
MADISON,AR,4430,5087,4,,ARKANSAS,22220,"Fayetteville-Springdale-Rogers, AR-MO",22220,"Fayetteville-Springdale-Rogers, AR-MO",4,5,2005,2011,2012,2013,2014,2015,2016,2017
MARION,AR,4440,5089,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
MILLER,AR,4450,5091,8360,,"TEXARKANA, TX-TEXARKANA, AR",45500,"Texarkana, TX-Texarkana, AR",45500,"Texarkana, TX-Texarkana, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
MISSISSIPPI,AR,4460,5093,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
MONROE,AR,4470,5095,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
MONTGOMERY,AR,4480,5097,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
NEVADA,AR,4490,5099,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
NEWTON,AR,4500,5101,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
OUACHITA,AR,4510,5103,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
PERRY,AR,4520,5105,4,,ARKANSAS,30780,"Little Rock-North Little Rock, AR",30780,"Little Rock-North Little Rock-Conway, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
PHILLIPS,AR,4530,5107,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
PIKE,AR,4540,5109,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
POINSETT,AR,4550,5111,4,,ARKANSAS,27860,"Jonesboro, AR",27860,"Jonesboro, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
POLK,AR,4560,5113,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
POPE,AR,4570,5115,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
PRAIRIE,AR,4580,5117,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
PULASKI,AR,4590,5119,4400,,"LITTLE ROCK-NORTH LITTLE ROCK, AR",30780,"Little Rock-North Little Rock, AR",30780,"Little Rock-North Little Rock-Conway, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
RANDOLPH,AR,4600,5121,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
ST. FRANCIS,AR,4610,5123,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
SALINE,AR,4620,5125,4400,,"LITTLE ROCK-NORTH LITTLE ROCK, AR",30780,"Little Rock-North Little Rock, AR",30780,"Little Rock-North Little Rock-Conway, AR",4,5,2005,2011,2012,2013,2014,2015,2016,2017
SCOTT,AR,4630,5127,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
SEARCY,AR,4640,5129,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
SEBASTIAN,AR,4650,5131,2720,,"FORT SMITH, AR-OK",22900,"Fort Smith, AR-OK",22900,"Fort Smith, AR-OK",4,5,2005,2011,2012,2013,2014,2015,2016,2017
SEVIER,AR,4660,5133,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
SHARP,AR,4670,5135,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
STONE,AR,4680,5137,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
UNION,AR,4690,5139,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
VAN BUREN,AR,4700,5141,4,,ARKANSAS,,,,,4,5,2005,2011,2012,2013,2014,2015,2016,2017
WASHINGTON,AR,4710,5143,2580,,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",22220,"Fayetteville-Springdale-Rogers, AR-MO",22220,"Fayetteville-Springdale-Rogers, AR-MO",4,5,2005,2011,2012,2013,2014,2015,2016,2017
