fips,population
12007.0,28201
12009.0,601942
12011.0,1952778
12013.0,14105
12015.0,188910
12017.0,149657
12019.0,219252
12021.0,384902
12023.0,71686
12027.0,38001
12029.0,16826
12031.0,957755
12033.0,318316
12035.0,115081
12037.0,12125
12039.0,45660
12041.0,18582
12043.0,13811
12045.0,13639
12047.0,14428
12049.0,26937
12051.0,42022
12053.0,193920
12055.0,106221
12057.0,1471968
12059.0,19617
12061.0,159923
12063.0,46414
12065.0,14246
12067.0,8422
12069.0,367118
12071.0,770577
12073.0,293582
12075.0,41503
12077.0,8354
12079.0,18493
12081.0,403253
12083.0,365579
12085.0,161000
12086.0,2716940
12087.0,74228
12089.0,88625
12091.0,210738
12093.0,42168
12095.0,1393452
12097.0,375751
12099.0,1496770
12101.0,553947
12103.0,974996
12105.0,724777
12107.0,74521
12109.0,264672
12111.0,328297
12113.0,184313
12115.0,433742
12117.0,471826
12119.0,132420
12121.0,44417
12123.0,21569
12125.0,15237
12127.0,553284
12129.0,33739
12131.0,74071
12133.0,25473
13000.0,10617423
13001.0,18386
13003.0,8165
13005.0,11164
13007.0,3038
13009.0,44890
13011.0,19234
13013.0,83240
13015.0,107738
13017.0,16700
13019.0,19397
13021.0,153159
13023.0,12873
13025.0,19109
13027.0,15457
13029.0,39627
13031.0,79608
13033.0,22383
13035.0,24936
13037.0,6189
13039.0,54666
13043.0,10803
13045.0,119992
13047.0,67580
13049.0,13392
13051.0,289430
13053.0,10907
13055.0,24789
13057.0,258773
13059.0,128331
13061.0,2834
13063.0,292256
13065.0,6618
13067.0,760141
13069.0,43273
13071.0,45600
13073.0,156714
13075.0,17270
13077.0,148509
13079.0,12404
13081.0,22372
13083.0,16116
13085.0,26108
13087.0,26404
13089.0,759297
13091.0,20605
13093.0,13390
13095.0,87956
13097.0,146343
13099.0,10190
13101.0,4006
13103.0,64296
13105.0,19194
13107.0,22646
13109.0,10654
13111.0,26188
13113.0,114421
13115.0,98498
13117.0,244252
13119.0,23349
13121.0,1063937
13123.0,31369
13125.0,2971
13127.0,85292
13129.0,57963
13131.0,24633
13133.0,18324
13135.0,936250
13137.0,45328
13139.0,204441
13141.0,8457
13143.0,29792
13145.0,35236
13147.0,26205
13149.0,11923
13151.0,234561
13153.0,157863
13155.0,9416
13157.0,72977
13159.0,14219
13161.0,15115
13163.0,15362
13165.0,8676
13167.0,9643
13169.0,28735
13171.0,19077
13173.0,10423
13175.0,47546
13177.0,29992
13179.0,61435
13181.0,7921
13183.0,19559
13185.0,117406
13187.0,33610
13189.0,21312
13191.0,14378
13193.0,12947
13195.0,29880
13197.0,8359
13199.0,21167
13201.0,5718
13205.0,21863
13207.0,27578
13209.0,9172
13211.0,19276
13213.0,40096
13215.0,195769
13217.0,111744
13219.0,40280
13221.0,15259
13223.0,168667
13225.0,27546
13227.0,32591
13229.0,19465
13231.0,18962
13233.0,42613
13235.0,11137
13237.0,22119
13239.0,2299
13241.0,17137
13243.0,6778
13245.0,202518
13247.0,90896
13249.0,5257
13251.0,13966
13253.0,8090
13255.0,66703
13257.0,25925
13259.0,6621
13261.0,29524
13263.0,6195
13265.0,1537
13267.0,25286
13269.0,8020
13271.0,15860
13273.0,8531
13275.0,44451
13277.0,40644
13279.0,26830
13281.0,12037
13283.0,6901
13285.0,69922
13287.0,7985
13289.0,8120
13291.0,24511
13293.0,26320
13295.0,69761
13297.0,94593
13299.0,35734
13301.0,5254
13303.0,20374
13305.0,29927
13307.0,2607
13309.0,7855
13311.0,30798
13313.0,104628
13315.0,8635
13317.0,9777
13319.0,8954
13321.0,20247
15000.0,1415872
15001.0,201513
15003.0,974563
15005.0,86
15007.0,72293
15009.0,167417
16000.0,1787065
16001.0,481587
16003.0,4294
16005.0,87808
16007.0,6125
16009.0,9298
16011.0,46811
16013.0,23021
16015.0,7831
16017.0,45739
16019.0,119062
16021.0,12245
16023.0,2597
16025.0,1106
16027.0,229849
16029.0,7155
16031.0,24030
16033.0,845
16035.0,8756
16037.0,4315
16039.0,27511
16041.0,13876
16043.0,13099
16045.0,18112
16047.0,15179
16049.0,16667
16051.0,29871
16053.0,24412
16055.0,165697
16057.0,40108
16059.0,8027
16061.0,3838
16063.0,5366
16065.0,39907
16067.0,21039
16069.0,40408
16071.0,4531
16073.0,11823
16075.0,23951
16077.0,7681
16079.0,12882
16081.0,12142
16083.0,86878
16085.0,11392
16087.0,10194
17000.0,12671821
17001.0,65435
17003.0,5761
17005.0,16426
17007.0,53544
17009.0,6578
17011.0,32628
17013.0,4739
17015.0,14305
17017.0,12147
17019.0,209689
17021.0,32304
17023.0,15441
17025.0,13184
17027.0,37562
17029.0,50621
17031.0,5150233
17033.0,18667
17035.0,10766
17037.0,104897
17039.0,15638
17041.0,19465
17043.0,922921
17045.0,17161
17047.0,6395
17049.0,34008
17051.0,21336
17053.0,12961
17055.0,38469
17057.0,34340
17059.0,4828
17061.0,12969
17063.0,51054
17065.0,8116
17067.0,17708
17069.0,3821
17071.0,6646
17073.0,48913
17075.0,27114
17077.0,56750
17079.0,9610
17081.0,37684
17083.0,21773
17085.0,21235
17087.0,12417
17089.0,532403
17091.0,109862
17093.0,128990
17095.0,49699
17097.0,696535
17099.0,108669
17101.0,15678
17103.0,34096
17105.0,35648
17107.0,28618
17109.0,29682
17111.0,307774
17113.0,171517
17115.0,104009
17117.0,44926
17119.0,262966
17121.0,37205
17123.0,11438
17125.0,13359
17127.0,13772
17129.0,12196
17131.0,15437
17133.0,34637
17135.0,28414
17137.0,33658
17139.0,14501
17141.0,50643
17143.0,179179
17145.0,20916
17147.0,16344
17149.0,15561
17151.0,4177
17153.0,5335
17155.0,5739
17157.0,31782
17159.0,15513
17161.0,141879
17163.0,259686
17165.0,23491
17167.0,194672
17169.0,6768
17171.0,4951
17173.0,21634
17175.0,5342
17177.0,44498
17179.0,131803
17181.0,16653
17183.0,75758
17185.0,11520
17187.0,16844
17189.0,13887
17191.0,16215
17193.0,13537
17195.0,55175
17197.0,690743
17199.0,66597
17201.0,282572
17203.0,38459
18000.0,6732219
18001.0,35777
18003.0,379299
18005.0,83779
18007.0,8748
18009.0,11758
18011.0,67843
18013.0,15092
18015.0,20257
18017.0,37689
18019.0,118302
18021.0,26225
18023.0,32399
18025.0,10577
18027.0,33351
18029.0,49458
18031.0,26559
18033.0,43475
18035.0,114135
18037.0,42736
18039.0,206341
18041.0,23102
18043.0,78522
18045.0,16346
18047.0,22758
18049.0,19974
18051.0,33659
18053.0,65769
18055.0,31922
18057.0,338011
18059.0,78168
18061.0,40515
18063.0,170311
18065.0,47972
18067.0,82544
18069.0,36520
18071.0,44231
18073.0,33562
18075.0,20436
18077.0,32308
18079.0,27735
18081.0,158167
18083.0,36594
18085.0,79456
18087.0,39614
18089.0,485493
18091.0,109888
18093.0,45370
18095.0,129569
18097.0,964582
18099.0,46258
18101.0,10255
18103.0,35516
18105.0,148431
18107.0,38338
18109.0,70489
18111.0,13984
18113.0,47744
18115.0,5875
18117.0,19646
18119.0,20799
18121.0,16937
18123.0,19169
18125.0,12389
18127.0,170389
18129.0,25427
18131.0,12353
18133.0,37576
18135.0,24665
18137.0,28324
18139.0,16581
18141.0,271826
18143.0,23873
18145.0,44729
18147.0,20277
18149.0,22995
18151.0,34594
18153.0,20669
18155.0,10751
18157.0,195732
18159.0,15148
18161.0,7054
18163.0,181451
18165.0,15498
18167.0,107038
18169.0,30996
18171.0,8265
18173.0,62998
18175.0,28036
18177.0,65884
18179.0,28296
18181.0,24102
18183.0,33964
19000.0,3155070
19001.0,7152
19003.0,3602
19005.0,13687
19007.0,12426
19009.0,5496
19011.0,25645
19013.0,131228
19015.0,26234
19017.0,25062
19019.0,21175
19021.0,19620
19023.0,14439
19025.0,9668
19027.0,20165
19029.0,12836
19031.0,18627
19033.0,42450
19035.0,11235
19037.0,11933
19039.0,9395
19041.0,16016
19043.0,17549
19045.0,46429
19047.0,16820
19049.0,93453
19051.0,9000
19053.0,7870
19055.0,17011
19057.0,38967
19059.0,17258
19061.0,97311
19063.0,9208
19065.0,19650
19067.0,15642
19069.0,10070
19071.0,6960
19073.0,8888
19075.0,12232
19077.0,10689
19079.0,14773
19081.0,10630
19083.0,16846
19085.0,14049
19087.0,19954
19089.0,9158
19091.0,9558
19093.0,6860
19095.0,16184
19097.0,19439
19099.0,37185
19101.0,18295
19103.0,151140
19105.0,20681
19107.0,10246
19109.0,14813
19111.0,33657
19113.0,226706
19115.0,11035
19117.0,8600
19119.0,11755
19121.0,16338
19123.0,22095
19125.0,33253
19127.0,39369
19129.0,15109
19131.0,10586
19133.0,8615
19135.0,7707
19137.0,9917
19139.0,42664
19141.0,13753
19143.0,5958
19145.0,15107
19147.0,8886
19149.0,25177
19151.0,6619
19153.0,490161
19155.0,93206
19157.0,18504
19159.0,4894
19161.0,9721
19163.0,172943
19165.0,11454
19167.0,34855
19169.0,97117
19171.0,16854
19173.0,6121
19175.0,12241
19177.0,7044
19179.0,34969
19181.0,51466
19183.0,21965
19185.0,6441
19187.0,35904
19189.0,10354
19191.0,19991
19193.0,103107
19195.0,7381
19197.0,12562
20000.0,2913314
20001.0,12369
20003.0,7858
20005.0,16073
20007.0,4427
20009.0,25779
20011.0,14534
20013.0,9564
20015.0,66911
20017.0,2648
20019.0,3250
20021.0,19939
20023.0,2657
20025.0,1994
20027.0,8002
20029.0,8786
20031.0,8179
20033.0,1700
20035.0,34908
20037.0,38818
20039.0,2827
20041.0,18466
20043.0,7600
20045.0,122259
20047.0,2798
20049.0,2530
20051.0,28553
20053.0,6102
20055.0,36467
20057.0,33619
20059.0,25544
20061.0,31670
20063.0,2636
20065.0,2482
20067.0,7150
20069.0,5988
20071.0,1232
20073.0,5982
20075.0,2539
20077.0,5436
20079.0,34429
20081.0,3968
20083.0,1794
20085.0,13171
20087.0,19043
20089.0,2879
20091.0,602401
20093.0,3838
20095.0,7152
20097.0,2475
20099.0,19618
20101.0,1535
20103.0,81758
20105.0,2962
20107.0,9703
20109.0,2794
20111.0,33195
20113.0,28542
20115.0,11884
20117.0,9707
20119.0,4033
20121.0,34237
20123.0,5979
20125.0,31829
20127.0,5620
20129.0,2587
20131.0,10231
20133.0,16007
20135.0,2750
20137.0,5361
20139.0,15949
20141.0,3421
20143.0,5704
20145.0,6414
20147.0,5234
20149.0,24383
20151.0,9164
20153.0,2530
20155.0,61998
20157.0,4636
20159.0,9537
20161.0,74232
20163.0,4920
20165.0,3036
20167.0,6856
20169.0,54224
20171.0,4823
20173.0,516042
20175.0,21428
20177.0,176875
20179.0,2521
20181.0,5917
20183.0,3583
20185.0,4156
20187.0,2006
20189.0,5485
20191.0,22836
20193.0,7777
20195.0,2803
20197.0,6931
20199.0,1518
20201.0,5406
20203.0,2119
20205.0,8525
20207.0,3138
20209.0,165429
21000.0,4467673
21001.0,19202
21003.0,21315
21005.0,22747
21007.0,7888
21009.0,44249
21011.0,12500
21013.0,26032
21015.0,133581
21017.0,19788
21019.0,46718
21021.0,30060
21023.0,8303
21025.0,12630
21027.0,20477
21029.0,81676
21031.0,12879
21033.0,12747
21035.0,39001
21037.0,93584
21039.0,4760
21041.0,10631
21043.0,26797
21045.0,16159
21047.0,70461
21049.0,36263
21051.0,19901
21053.0,10218
21055.0,8806
21057.0,6614
21059.0,101511
21061.0,12150
21063.0,7517
21065.0,14106
21067.0,323152
21069.0,14581
21071.0,35589
21073.0,50991
21075.0,5969
21077.0,8869
21079.0,17666
21081.0,25069
21083.0,37266
21085.0,26427
21087.0,10941
21089.0,35098
21091.0,8722
21093.0,110958
21095.0,26010
21097.0,18886
21099.0,19035
21101.0,45210
21103.0,16126
21105.0,4380
21107.0,44686
21109.0,13329
21111.0,766757
21113.0,54115
21115.0,22188
21117.0,166998
21119.0,14806
21121.0,31145
21123.0,14398
21125.0,60813
21127.0,15317
21129.0,7403
21131.0,9877
21133.0,21553
21135.0,13275
21137.0,24549
21139.0,9194
21141.0,27102
21143.0,8210
21145.0,65418
21147.0,17231
21149.0,9207
21151.0,92987
21153.0,12161
21155.0,19273
21157.0,31100
21159.0,11195
21161.0,17070
21163.0,28572
21165.0,6489
21167.0,21933
21169.0,10071
21171.0,10650
21173.0,28157
21175.0,13309
21177.0,30622
21179.0,46233
21181.0,7269
21183.0,23994
21185.0,66799
21187.0,10901
21189.0,4415
21191.0,14590
21193.0,25758
21195.0,57876
21197.0,12359
21199.0,64979
21201.0,2108
21203.0,16695
21205.0,24460
21207.0,17923
21209.0,57004
21211.0,49024
21213.0,18572
21215.0,19351
21217.0,25769
21219.0,12294
21221.0,14651
21223.0,8471
21225.0,14381
21227.0,132896
21229.0,12095
21231.0,20333
21233.0,12942
21235.0,36264
21237.0,7157
21239.0,26734
22000.0,4648794
22001.0,62045
22003.0,25627
22005.0,126604
22007.0,21891
22009.0,40144
22011.0,37497
22013.0,13241
22015.0,127039
22017.0,240204
22019.0,203436
22021.0,9918
22023.0,6973
22025.0,9494
22027.0,15670
22029.0,19259
22031.0,27463
22033.0,440059
22035.0,6861
22037.0,19135
22039.0,33395
22041.0,20015
22043.0,22389
22045.0,69830
22047.0,32511
22049.0,15744
22051.0,432493
22053.0,31368
22055.0,244390
22057.0,97614
22059.0,14892
22061.0,46742
22063.0,140789
22065.0,10951
22067.0,24874
22069.0,38158
22071.0,390144
22073.0,153279
22075.0,23197
22077.0,21730
22079.0,129648
22081.0,8442
22083.0,20122
22085.0,23884
22087.0,47244
22089.0,53100
22091.0,10132
22093.0,21096
22095.0,42837
22097.0,82124
22099.0,53431
22101.0,49348
22103.0,260419
22105.0,134758
22107.0,4334
22109.0,110461
22111.0,22108
22113.0,59511
22115.0,47429
22117.0,46194
22119.0,38340
22121.0,26465
22123.0,10830
22125.0,15568
22127.0,13904
23000.0,1344212
23001.0,108277
23003.0,67055
23005.0,295003
23007.0,30199
23009.0,54987
23011.0,122302
23013.0,39772
23015.0,34634
23017.0,57975
23019.0,152148
23021.0,16785
23023.0,35856
23025.0,50484
23027.0,39715
23029.0,31379
23031.0,207641
24000.0,6045680
24001.0,70416
24003.0,579234
24005.0,827370
24009.0,92525
24011.0,33406
24013.0,168447
24015.0,102855
24017.0,163257
24019.0,31929
24021.0,259547
24023.0,29014
24025.0,255441
24027.0,325690
24029.0,19422
24031.0,1050688
24033.0,909327
24035.0,50381
24037.0,113510
24039.0,25616
24041.0,37181
24043.0,151049
24045.0,103609
24047.0,52276
24510.0,593490
25000.0,6892503
25001.0,212990
25003.0,124944
25005.0,565217
25007.0,17332
25009.0,789034
25011.0,70180
25013.0,466372
25015.0,160830
25017.0,1611699
25019.0,11399
25021.0,706775
25023.0,521202
25025.0,803907
25027.0,830622
26000.0,9986857
26001.0,10405
26003.0,9108
26005.0,118081
26007.0,28405
26009.0,23324
26011.0,14883
26013.0,8209
26015.0,61550
26017.0,103126
26019.0,17766
26021.0,153401
26023.0,43517
26025.0,134159
26027.0,51787
26029.0,26143
26031.0,25276
26033.0,37349
26035.0,30950
26037.0,79595
26039.0,14029
26041.0,35784
26043.0,25239
26045.0,110268
26047.0,33415
26049.0,405813
26051.0,25449
26053.0,13975
26055.0,93088
26057.0,40711
26059.0,45605
26061.0,35684
26063.0,30981
26065.0,292406
26067.0,64697
26069.0,25127
26071.0,11066
26073.0,69872
26075.0,158510
26077.0,265066
26079.0,18038
26081.0,656955
26083.0,2116
26085.0,11853
26087.0,87607
26089.0,21761
26091.0,98451
26093.0,191995
26095.0,6229
26097.0,10799
26099.0,873972
26101.0,24558
26103.0,66699
26105.0,29144
26107.0,43453
26109.0,22780
26111.0,83156
26113.0,15118
26115.0,150500
26117.0,63888
26119.0,9328
26121.0,173566
26123.0,48980
26125.0,1257584
26127.0,26467
26129.0,20997
26131.0,5720
26133.0,23460
26135.0,8241
26137.0,24668
26139.0,291830
26141.0,12592
26143.0,24019
26145.0,190539
26147.0,159128
26149.0,60964
26151.0,41170
26153.0,8094
26155.0,68122
26157.0,52245
26159.0,75677
26161.0,367601
26163.0,1749343
26165.0,33631
27000.0,5639632
27001.0,15886
27003.0,356921
27005.0,34423
27007.0,47188
27009.0,40889
27011.0,4991
27013.0,67653
27015.0,25008
27017.0,35871
27019.0,105089
27021.0,29779
27023.0,11800
27025.0,56579
27027.0,64222
27029.0,8818
27031.0,5463
27033.0,11196
27035.0,65055
27037.0,429021
27039.0,20934
27041.0,38141
27043.0,13653
27045.0,21067
27047.0,30281
27049.0,46340
27051.0,5972
27053.0,1265843
27055.0,18600
27057.0,21491
27059.0,40596
27061.0,45130
27063.0,9846
27065.0,16337
27067.0,43199
27069.0,4298
27071.0,12229
27073.0,6623
27075.0,10641
27077.0,3740
27079.0,28887
27081.0,5639
27083.0,25474
27085.0,35893
27087.0,5527
27089.0,9336
27091.0,19683
27093.0,23222
27095.0,26277
27097.0,33386
27099.0,40062
27101.0,8194
27103.0,34274
27105.0,21629
27107.0,6375
27109.0,158293
27111.0,58746
27113.0,14119
27115.0,29579
27117.0,9126
27119.0,31364
27121.0,11249
27123.0,550321
27125.0,4055
27127.0,15170
27129.0,14548
27131.0,66972
27133.0,9315
27135.0,15165
27137.0,199070
27139.0,149013
27141.0,97238
27143.0,14865
27145.0,161075
27147.0,36649
27149.0,9805
27151.0,9266
27153.0,24664
27155.0,3259
27157.0,21627
27159.0,13682
27161.0,18612
27163.0,262440
27165.0,10897
27167.0,6207
27169.0,50484
27171.0,138377
27173.0,9709
28000.0,2976149
28001.0,30693
28003.0,36953
28005.0,12297
28007.0,18174
28009.0,8259
28011.0,30628
28013.0,14361
28015.0,9947
28017.0,17103
28019.0,8210
28021.0,8988
28023.0,15541
28025.0,19316
28027.0,22124
28029.0,28065
28031.0,18636
28033.0,184945
28035.0,74897
28037.0,7713
28039.0,24500
28041.0,13586
28043.0,20758
28045.0,47632
28047.0,208080
28049.0,231840
28051.0,17010
28053.0,8064
28055.0,1327
28057.0,23390
28059.0,143617
28061.0,16383
28063.0,6990
28065.0,11128
28067.0,68098
28069.0,9742
28071.0,54019
28073.0,63343
28075.0,74125
28077.0,12586
28079.0,22786
28081.0,85436
28083.0,28183
28085.0,34153
28087.0,58595
28089.0,106272
28091.0,24573
28093.0,35294
28095.0,35252
28097.0,9775
28099.0,29118
28101.0,21018
28103.0,10417
28105.0,49587
28107.0,34192
28109.0,55535
28111.0,11973
28113.0,39288
28115.0,32174
28117.0,25126
28119.0,6792
28121.0,155271
28123.0,28124
28125.0,4321
28127.0,26658
28129.0,15916
28131.0,18336
28133.0,25110
28135.0,13809
28137.0,28321
28139.0,22015
28141.0,19383
28143.0,9632
28145.0,28815
28147.0,14286
28149.0,45381
28151.0,43909
28153.0,20183
28155.0,9689
28157.0,8630
28159.0,17955
28161.0,12108
28163.0,29690
29000.0,6137428
29001.0,25343
29003.0,17712
29005.0,5143
29007.0,25388
29009.0,35789
29011.0,11754
29013.0,16172
29015.0,19443
29017.0,12133
29019.0,180463
29021.0,87364
29023.0,42478
29025.0,9020
29027.0,44743
29029.0,46305
29031.0,78871
29033.0,8679
29035.0,5982
29037.0,105780
29039.0,14349
29041.0,7426
29043.0,88595
29045.0,6797
29047.0,249948
29049.0,20387
29051.0,76745
29053.0,17709
29055.0,23920
29057.0,7561
29059.0,16878
29061.0,8278
29063.0,12547
29065.0,15573
29067.0,13185
29069.0,29131
29071.0,103967
29073.0,14706
29075.0,6571
29077.0,293086
29079.0,9850
29081.0,8352
29083.0,21824
29085.0,9544
29087.0,4403
29089.0,10001
29091.0,40117
29093.0,10125
29095.0,703011
29097.0,121328
29099.0,225081
29101.0,54062
29103.0,3959
29105.0,35723
29107.0,32708
29109.0,38355
29111.0,9776
29113.0,59013
29115.0,11920
29117.0,15227
29119.0,22837
29121.0,15117
29123.0,12088
29125.0,8697
29127.0,28530
29129.0,3617
29131.0,25619
29133.0,13180
29135.0,16132
29137.0,8644
29139.0,11551
29141.0,20627
29143.0,17076
29145.0,58236
29147.0,22092
29149.0,10529
29151.0,13615
29153.0,9174
29155.0,15805
29157.0,19136
29159.0,42339
29161.0,44573
29163.0,18302
29165.0,104418
29167.0,32149
29169.0,52607
29171.0,4696
29173.0,10309
29175.0,24748
29177.0,23018
29179.0,6270
29181.0,13288
29183.0,402022
29185.0,9397
29186.0,17894
29187.0,67215
29189.0,994205
29195.0,22761
29197.0,4660
29199.0,4902
29201.0,38280
29203.0,8166
29205.0,5930
29207.0,29025
29209.0,31952
29211.0,6089
29213.0,55928
29215.0,25398
29217.0,20563
29219.0,35649
29221.0,24730
29223.0,12873
29225.0,39592
29227.0,2013
29229.0,18289
29510.0,300576
30000.0,1068778
30001.0,9453
30003.0,13319
30005.0,6681
30007.0,6237
30009.0,10725
30011.0,1252
30013.0,81366
30015.0,5635
30017.0,11402
30019.0,1690
30021.0,8613
30023.0,9140
30025.0,2846
30027.0,11050
30029.0,103806
30031.0,114434
30033.0,1258
30035.0,13753
30037.0,821
30039.0,3379
30041.0,16484
30043.0,12221
30045.0,2007
30047.0,30458
30049.0,69432
30051.0,2337
30053.0,19980
30055.0,1664
30057.0,8600
30059.0,1862
30061.0,4397
30063.0,119600
30065.0,4633
30067.0,16606
30069.0,487
30071.0,3954
30073.0,5911
30075.0,1682
30077.0,6890
30079.0,1077
30081.0,43806
30083.0,10803
30085.0,11004
30087.0,8937
30089.0,12113
30091.0,3309
30093.0,34915
30095.0,9642
30097.0,3737
30099.0,6147
30101.0,4736
30103.0,696
30105.0,7396
30107.0,2126
30109.0,969
30111.0,161300
31000.0,1934408
31001.0,31363
31003.0,6298
31005.0,463
31007.0,745
31009.0,465
31011.0,5192
31013.0,10783
31015.0,1919
31017.0,2955
31019.0,49659
31021.0,6459
31023.0,8016
31025.0,26248
31027.0,8402
31029.0,3924
31031.0,5689
31033.0,8910
31035.0,6203
31037.0,10709
31039.0,8846
31041.0,10777
31043.0,20026
31045.0,8589
31047.0,23595
31049.0,1794
31051.0,5636
31053.0,36565
31055.0,571327
31057.0,1693
31059.0,5462
31061.0,2979
31063.0,2627
31065.0,4676
31067.0,21513
31069.0,1837
31071.0,1969
31073.0,1990
31075.0,623
31077.0,2356
31079.0,61353
31081.0,9324
31083.0,3380
31085.0,922
31087.0,2762
31089.0,10067
31091.0,682
31093.0,6445
31095.0,7046
31097.0,5071
31099.0,6495
31101.0,8034
31103.0,806
31105.0,3632
31107.0,8332
31109.0,319090
31111.0,34914
31113.0,748
31115.0,664
31117.0,494
31119.0,35099
31121.0,7755
31123.0,4642
